Product Sk,siteId,skuId,Dim Categories Fpna → Category Fpna L1 Name,Dim Categories Fpna → Category Fpna L2 Name,Dim Categories Fpna → Category Fpna L3 Name,Dim Categories Fpna → Category Fpna L4 Name,Dim Countries → Country Iso Code
delivery-charges,,,Delivery charges,Unknown,Unknown,Unknown,
hbi|eu|be|0,60,0,Misc,Misc,Sint/Christmas,Sint/Christmas,BE
hbi|eu|be|1,60,1,Misc,Misc,Dumping / Gift Vouchers,Dumping / Gift Vouchers,BE
hbi|eu|be|10,60,10,Misc,Misc,Non-Food Deletion,Non-Food Deletion,BE
hbi|eu|be|100,60,100,Misc,Misc,Non-Food Deletion,Non-Food Deletion,BE
hbi|eu|be|1000,60,1000,Food,Ambient Food,Teas - Green,Teas - Green,BE
hbi|eu|be|10000,60,10000,VHMS,Supplements,Supplements - Lecithin,Supplements - Lecithin,BE
hbi|eu|be|10001,60,10001,Food,Ambient Food,Teas - Herbal,Teas - Herbal,BE
hbi|eu|be|10002,60,10002,Food,Ambient Food,Teas - Herbal,Teas - Herbal,BE
hbi|eu|be|10003,60,10003,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10004,60,10004,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10005,60,10005,Beauty,Toiletries,Toiletries - Shower & Bath,Toiletries - Shower & Bath,BE
hbi|eu|be|10006,60,10006,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10007,60,10007,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10008,60,10008,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10009,60,10009,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|1001,60,1001,Food,Ambient Food,Teas - Fruit,Teas - Fruit,BE
hbi|eu|be|10010,60,10010,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10011,60,10011,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10012,60,10012,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10013,60,10013,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10014,60,10014,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10015,60,10015,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10016,60,10016,Beauty,Toiletries,Toiletries - Hair Care,Toiletries - Hair Care,BE
hbi|eu|be|10017,60,10017,Beauty,Aromatherapy,Books,Books,BE
hbi|eu|be|10018,60,10018,Misc,Misc,Shop Use,Shop Use,BE
hbi|eu|be|1002,60,1002,Food,Ambient Food,Teas - Fruit,Teas - Fruit,BE
hbi|eu|be|10020,60,10020,Beauty,Toiletries,Gifts,Gifts,BE
hbi|eu|be|10021,60,10021,Beauty,Toiletries,Gifts,Gifts,BE
hbi|eu|be|10022,60,10022,Beauty,Toiletries,Gifts,Gifts,BE
hbi|eu|be|10023,60,10023,Beauty,Toiletries,Gifts,Gifts,BE
hbi|eu|be|10024,60,10024,Beauty,Toiletries,Gifts,Gifts,BE
hbi|eu|be|10025,60,10025,Beauty,Toiletries,Gifts,Gifts,BE
hbi|eu|be|10026,60,10026,Beauty,Toiletries,Gifts,Gifts,BE
hbi|eu|be|10027,60,10027,Beauty,Toiletries,Gifts,Gifts,BE
hbi|eu|be|10028,60,10028,Beauty,Toiletries,Gifts,Gifts,BE
hbi|eu|be|10029,60,10029,Beauty,Toiletries,Gifts,Gifts,BE
hbi|eu|be|1003,60,1003,Food,Ambient Food,Teas - Rooibos,Teas - Rooibos,BE
hbi|eu|be|10030,60,10030,Beauty,Toiletries,Gifts,Gifts,BE
