Product Sk,siteId,skuId,Unit Cost
hbi|eu|be|1093,60,001093,9.1400
hbi|eu|be|1103,60,001103,5.7000
hbi|eu|be|11108,60,011108,8.0200
hbi|eu|be|11174,60,011174,5.2000
hbi|eu|be|11136,60,011136,6.9900
hbi|eu|be|13791,60,013791,1.6800
hbi|eu|be|14293,60,014293,3.6700
hbi|eu|be|1450,60,001450,1.2800
hbi|eu|be|14704,60,014704,3.9900
hbi|eu|be|15258,60,015258,5.0400
hbi|eu|be|15186,60,015186,4.1800
hbi|eu|be|15831,60,015831,0.8700
hbi|eu|be|15316,60,015316,5.1300
hbi|eu|be|15838,60,015838,0.8300
hbi|eu|be|15881,60,015881,1.0900
hbi|eu|be|15882,60,015882,1.0300
hbi|eu|be|16370,60,016370,4.5300
hbi|eu|be|2717,60,002717,5.2000
hbi|eu|be|16665,60,016665,5.7400
hbi|eu|be|28765,60,028765,0.8700
hbi|eu|be|17511,60,017511,2.3100
hbi|eu|be|3451,60,003451,0.8700
hbi|eu|be|17741,60,017741,6.1600
hbi|eu|be|35454,60,035454,4.4200
hbi|eu|be|18977,60,018977,1.1000
hbi|eu|be|36741,60,036741,1.1500
hbi|eu|be|23061,60,023061,9.6300
hbi|eu|be|37291,60,037291,1.3700
hbi|eu|be|23460,60,023460,1.5100
hbi|eu|be|38935,60,038935,1.5100
hbi|eu|be|24899,60,024899,5.2000
hbi|eu|be|40664,60,040664,4.6200
hbi|eu|be|25739,60,025739,9.0300
hbi|eu|be|41828,60,041828,6.4500
hbi|eu|be|27514,60,027514,2.4100
hbi|eu|be|45751,60,045751,3.4200
hbi|eu|be|27516,60,027516,2.2400
hbi|eu|be|45845,60,045845,3.0500
hbi|eu|be|35478,60,035478,7.6200
hbi|eu|be|4667,60,004667,3.9500
hbi|eu|be|4025,60,004025,2.6500
hbi|eu|be|47413,60,047413,2.7200
hbi|eu|be|43529,60,043529,2.3700
hbi|eu|be|47845,60,047845,1.4300
hbi|eu|be|46038,60,046038,12.2000
hbi|eu|be|48867,60,048867,1.7400
hbi|eu|be|47765,60,047765,2.6800
hbi|eu|be|49712,60,049712,5.8800
hbi|eu|be|49229,60,049229,1.4700
hbi|eu|be|50395,60,050395,1.5500
hbi|eu|be|57160,60,057160,1.7200
hbi|eu|be|51348,60,051348,4.2600
