date_availability_nk,country_name,sku,riro,runin,runout,as400_sku_description,sku_name,website_url,product_size,brand_name,supplier_number,supplier_name,category_fpna_l1_name,category_fpna_l2_name,category_fpna_l3_name,category_fpna_l4_name,,dc_fd,dc_d,listed_online,listed_online_ex_fdd,abcde_ranking,npd,npd_launch_date,has_distribution_code,min_date_trading,zones,min_zoning_date,rsp_retail,rsp_digital,unit_cost_retail,unit_cost_digital,isa_percent,da_percent,rwa_percent,retail_dc_soh,retail_dc_stock_val,digital_dc_soh,digital_dc_stock_val,stores_zoned,stores_available,stores_stocked,stores_soh,stores_stock_val,volume_digital,volume_retail,sales_amount_digital,sales_amount_retail,sales_units_1w_digital,sales_units_1w_retail,sales_units_4w_digital,sales_units_4w_retail,sales_units_16w_digital,sales_units_16w_retail,sales_units_26w_digital,sales_units_26w_retail,sales_units_52w_digital,sales_units_52w_retail,sales_1w_digital,sales_1w_retail,sales_4w_digital,sales_4w_retail,sales_16w_digital,sales_16w_retail,sales_26w_digital,sales_26w_retail,sales_52w_digital,sales_52w_retail,margin_digital,margin_retail,margin_rate_digital,margin_rate_retail,margin_4w_digital,margin_4w_retail,margin_16w_digital,margin_16w_retail,margin_26w_digital,margin_26w_retail,margin_52w_digital,margin_52w_retail
2/8/2023,United Kingdom,13220,,,,*EAT RL TOM BAS LNTL 113G,Eat Real Tomato & Basil Lentil Chips 113g,https://AAA/shop/product/eat-real-tomato-basil-lentil-chips-60013220?skuid=013220,113G,Eat Real,3466,LAKSHMI & SONS (EAT REAL),Food,Healthier Snacking,Crisps,Crisps-Multipack & Sharer,INTERNET ONLY,1,0,1,0,E,0,12+ months ago,0,2/10/2017,,,1.99,1.99,0.92,0.92,,,,0,0,1,0.92,0,0,1,1,,,1,,1.49,,1,150,1,794,3,1005,3,1706,5,54.87,1.49,254.11,1.49,1103.01,5.07,1453.25,5.07,2422.4,7.7906,,0.846,,0.567785235,116.11,0.846,497.46,2.586,656.68,2.586,1095.9288,3.401
2/8/2023,United Kingdom,20607,,,,DR O SNAIL GEL CREAM 50ML,Dr Organic Snail Gel Cream 50ml,https://AAA/shop/product/dr-organic-snail-gel-cream-60020607?skuid=020607,50ML,Dr Organic,4203,DR ORGANIC LIMITED,Beauty,Skincare,Skincare-Facial Skincare,Facial Skincare,SKIN CARE,0,0,1,1,B,0,12+ months ago,1,1/10/2017,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 20, 21, 22, 23, 24, 25, 26, 95",2/7/2021,19.99,19.99,3.58,3.3,0.9972106,1,1,2605,9325.9,196,701.68,717,715,718,7989,26363.7,47,97,304.891,633.424,47,97,225,963,1433,4768,2183,7087,5539,16388,802.1399,3173.477,2282.4621,11764.667,12891.0736,49463.4968,20168.7355,78499.4868,47652.6933,169800.4205,193.219,375.792,0.633731399,0.593270858,1700.8701,8986.415,9348.7216,36020.2448,14646.3835,57675.9148,32769.5113,122043.9105
2/8/2023,United Kingdom,63593,,,,H&B A YEAR'S SUPPLYIMMUNITY B SINGLE,AAA A Year's Supply Vitamin C High Strength Slow Release 1000mg 360 Tablets Immunity Bundle,https://AAA/shop/product/AAA-a-year-s-supply-vitamin-c-high-strength-slow-release-1000mg-360-tablets-immunity-bundle-60063593?skuid=063593,SINGLE,AAA,7151,H&B INTERNAL PACKAGING,VHMS,Vitamins,Vitamins - C,Vitamins - C,SUPPLIER FSDU 2,0,0,1,1,E,,0-5 months ago,0,,,,24,24,6.42,,,,,0,0,0,0,0,0,1,2,12.84,,,,,,,,,,,,-2,,-2,,,,,,,,-23.692,,-23.692,,,,,,,,,,-10.852,,-10.852
2/8/2023,United Kingdom,40785,,,,REN EVERCALM CLEANSING GEL SINGLE,REN Evercalm Gentle Cleansing Gel,https://AAA/shop/product/ren-evercalm-gentle-cleansing-gel-60040785?skuid=040785,SINGLE,REN,2452,REN LIMITED,Beauty,Premium Beauty,Premium Beauty-Facial Skincare,Premium Beauty-Facial Skincare,PREMIUM BEAUTY,0,0,1,1,E,0,12+ months ago,1,18/01/2020,10,14/06/2023,25,25,10.08,11.46,1,1,1,66,665.28,68,685.44,1,1,4,17,194.82,,,,,,,3,2,16,4,33,5,92,6,18.75,10.417,51.2332,20.834,248.816,60.475,504.6405,81.308,1491.8716,102.141,,,,,16.8532,0.674,65.456,18.775,126.4605,29.528,437.5516,38.901
2/8/2023,United Kingdom,17777,,,,*BB GLOSS CRAYON PINK LAGOON SINGLE,Burt's Bees Pink Lagoon Gloss Lip Crayon 2.83g,https://AAA/shop/product/burt-s-bees-pink-lagoon-gloss-lip-crayon-60017777?skuid=017777,SINGLE,Burt's Bees,2360,Burts Bees (CBEE)EUROPE,Beauty,Cosmetics,Cosmetics,Lips,INTERNET ONLY,1,1,0,0,E,0,12+ months ago,0,12/2/2018,,,1,9.99,3.74,,,,,0,0,,,0,0,15,35,130.9,,,,,,,,,,,,,,4,,,,,,,,,,3.332,,,,,,,,,,,,-11.628
2/8/2023,United Kingdom,48146,,,,MIAROMA NATURAL LINEN CANDLE 220G,Miaroma Natural Linen Soy Candle 220g,https://AAA/shop/product/miaroma-natural-linen-soy-candle-220g-60048146?skuid=048146,220G,Miaroma,17101,WAX LYRICAL LIMITED,Beauty,Aromatherapy,Aromatherapy-Home Fragrance,Aromatherapy-Home Fragrance,AROMATHERAPY,0,0,1,1,E,0,12+ months ago,1,30/07/2021,"1, 20",22/07/2021,4.99,4.99,2.77,2.77,1,1,1,1661,4600.97,124,343.48,50,50,261,842,2332.34,7,6,26.8415,19.341,7,6,309,183,448,439,469,528,526,884,84.6745,135.747,674.0867,545.8966,1027.1923,1401.0649,1146.4668,1954.0259,1440.7487,3903.2559,7.4515,2.721,0.277611162,0.14068559,-181.8433,38.5666,-213.7677,181.4749,-152.6632,487.9059,-16.2713,1462.6259
2/8/2023,United Kingdom,44488,,,,GB STICK MAN BUBBLEBATH 400ML,Good Bubble Stick Man Sweet Fig & Elder Bubble Bath,https://AAA/shop/product/good-bubble-stick-man-sweet-fig-elder-bubble-bath-60044488?skuid=044488,400ML,Good Bubble,5149,ELLA BANKS LTD,Beauty,Toiletries,Baby & Child,Toiletries,SPARE,,,0,0,E,0,12+ months ago,0,7/9/2020,,,2,2,0.443333333,,,,,2,2.66,,,,,,,,,,,,,,,,,3,,3,,23,,,,,,4.992,,4.992,,64.943,,,,,,,,1.002,,1.002,,36.0155
2/8/2023,United Kingdom,51638,,,,*PMS COCONUT BACON RECYCLABLE SINGLE,Pimp My Salad Coconut Bacon Recyclable Value Pack 105g,https://AAA/shop/product/pimp-my-salad-coconut-bacon-recyclable-value-pack-60051638?skuid=051638,SINGLE,Pimpmysalad,23198,WINDFALL LOGISTICS LTD.,Food,Chilled Food,Meat Alternatives-Chilled Food,Chilled Food-Meat Alternatives,INTERNET ONLY,,,1,1,E,1,6-11 months ago,0,24/10/2022,,,4.49,4.49,2.36,2.36,,1,,,,50,118,,,,,,,,,,,,10,,48,,73,,121,1,27.1249,,30.8665,,153.5154,,230.573,,381.1715,3.7416,,,,,7.2665,,40.2354,,58.293,,95.6115,1.3816
2/8/2023,United Kingdom,33050,,,,H&B CBD SERUM 30ML,AAA CBD Serum 30ml,https://AAA/shop/product/AAA-cbd-serum-60033050?skuid=033050,30ML,AAA,16537,PELHAM HEALTHCARE LIMITED,VHMS,CBD,Isolate,Beauty - Isolate,CBD,0,0,1,1,C,0,12+ months ago,1,28/01/2019,"1, 2, 20, 21, 95",16/06/2021,19.99,19.99,1.95,1.94,1,1,1,3071,5988.45,40,78,718,718,720,3873,7513.62,,11,,119.999,,11,60,176,407,907,564,1385,1829,3396,165.7663,615.126,704.8651,2257.894,3853.5833,9766.439,5574.5709,15727.336,15057.1653,35032.7876,,98.549,,0.82124851,588.4651,1915.234,3064.0033,7999.569,4480.4109,13045.476,11508.9053,28450.3176
2/8/2023,United Kingdom,82121,,,,H&B RST & LESS-SALTED CASHEWS 200G,AAA Lower Salt Roasted Cashews 200g,https://AAA/shop/product/AAA-lower-salt-roasted-cashews-60082121?skuid=082121,200G,AAA,8218,H&B Internal Packaging,Food,"Fruits, Nuts & Seeds",Nuts,Cashews,DRIED FRUIT & NUTS,1,0,1,0,B,0,12+ months ago,1,1/10/2017,,,1.5,1.5,1.9,1.892258065,,,,0,0,4,7.6,0,0,363,2061,3915.9,,393,,336.594,,393,279,4279,1773,17860,2305,25878,3107,39534,7.4666,1638.549,491.9451,7843.85,3451.3439,40178.4336,4846.0508,65587.5127,7149.9214,109626.4979,,-410.106,,-1.218399615,-35.9949,-295.87,42.5739,5970.3236,405.4108,15792.1527,1169.6814,31960.4079
